timestamp,request_id,trace_id,user_id,jwt_token_hash,device_id,ip_address,user_agent,endpoint,method,request_size_bytes,sender_id,receiver_id,amount,transaction_type,response_code,business_code,response_time_ms,response_size_bytes,label
2025-08-21 20:12:39.000,14e7c621-eab4-45ef-a7c9-cb3eaff92bd9,b652122c-4451-45c3-80b9-4c04adb1a325,USR_01612,7495b4d0b8e8c485f04652b3d447d102,DEV_64896,218.71.13.109,Mozilla/5.0 (Windows NT 10.0; Win64; x64),/balance,GET,1053,ACC_01612,,,INQUIRY,200,00,332,2794,0
2025-08-21 21:36:15.000,1706013c-5470-429a-82c8-d29f7ffdf96d,b6ea01c0-137d-49d4-ada6-8576afd9f58e,USR_00829,91efd5067aba888886cb0273283dffeb,DEV_16731,78.93.114.174,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/transaction/history,GET,1439,ACC_00829,,,INQUIRY,200,00,488,1135,0
2025-08-21 07:53:55.000,d2b5a30d-be24-4441-858c-207ccc596b97,42800c64-adcb-435f-9b2d-118a6cb7a943,USR_40670,1291a82102255e04e659492f886a0212,DEV_90822,62.203.57.241,MyBankApp/1.0.0 (iOS 15.0),/transfer,POST,1110,ACC_40670,ACC_05029,10000,TRANSFER,200,00,188,428,2
2025-08-21 20:30:56.000,e4aaa846-e719-4fb3-93d0-087e9d51fd26,e584faf5-b2b4-4b68-aecc-0e57c39b73ef,USR_01259,cf57e26dac20e5bd8eaf8576d5ce8313,DEV_15220,195.167.199.48,MyBankApp/1.0.0 (Android 11),/balance,GET,955,ACC_01259,,,INQUIRY,200,00,395,2449,0
2025-08-22 02:08:03.000,4690f61f-6b0d-435c-bd91-c9708c7cc5ee,656d6c81-02bf-4bcf-b6d7-83e3fa860150,USR_03258,63c9acf0902e4abbe86bd1106993fb7b,DEV_48455,121.146.223.235,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/transfer,POST,1544,ACC_03258,ACC_97766,8358000.0,TRANSFER,200,00,294,4765,0
2025-08-21 20:26:11.000,a2a0c689-2c1d-4a9e-8981-7eb43d53f75a,f95ec9d6-c7c8-4ac7-86e8-4d667f08f6e3,USR_00699,266c898649301697a57050e6850baeef,DEV_14799,228.9.160.48,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/logout,POST,1679,ACC_00699,,,,200,00,188,4363,0
2025-08-21 22:48:33.000,494aa633-5339-4106-b6f6-7a2bcb17b495,f6c07b2e-5ee4-4b5a-ae6d-70fd1fbb073f,USR_00128,091345a9bcb68fd40af13178c223bcaf,DEV_11220,149.186.178.230,MyBankApp/1.0.0 (iOS 15.0),/logout,POST,856,ACC_00128,,,,200,00,288,4582,0
2025-08-21 21:50:40.000,8fde3c01-4ddf-42b5-9815-0369f8fa85d7,b465824d-d5b2-420c-a1c2-2bcccd8c0e7c,USR_02806,7f20b1eae7073b3b95f49b3f5851c28a,DEV_51971,99.52.72.13,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/transfer,POST,839,ACC_02806,ACC_91259,7592000.0,TRANSFER,200,00,309,3774,0
2025-08-21 15:43:37.000,9d632e30-4e9b-4664-917b-5d1fbe2c8272,59f67ce0-372f-4315-b024-b8aedf7ce7e4,USR_02914,3ccf4d32c31a836c97f1f141da4da8e4,DEV_67627,54.109.86.45,MyBankApp/1.0.0 (Android 11),/transfer,POST,380,ACC_02914,ACC_35009,2248000.0,TRANSFER,200,00,369,1322,0
2025-08-21 12:32:25.000,914505a9-b4bc-4a81-bf35-d29894a49773,87ec8cbe-be13-40bf-9fd2-235d2ea4f4f9,USR_00510,53eafb8a8e9adabf205bfd8d86648082,DEV_89730,116.48.131.10,MyBankApp/1.0.0 (iOS 15.0),/login,POST,1310,ACC_00510,,,,200,00,257,4957,0
2025-08-21 08:11:16.000,c45c81e9-f5ed-4e23-9561-dd6475b4c749,f9546065-c3a0-4efd-8da0-6e6272e86121,USR_05017,788f93daa98ebaecee8bf05e75680f65,DEV_63899,216.63.96.161,python-requests/2.28.1,/transaction/history,GET,181,ACC_05017,,,INQUIRY,200,00,33,1337,1
2025-08-21 10:10:14.000,ba428dd2-0a76-4586-854d-f2cd5b2ffe1f,09522aca-76cc-4bfb-b9cd-a9bd4aab43cd,USR_02320,3db9a72b19ef4f76c1c476ee0dcb1fb5,DEV_34884,237.228.189.6,MyBankApp/1.0.0 (Android 11),/transaction/history,GET,1677,ACC_02320,,,INQUIRY,200,00,414,1033,0
2025-08-21 11:00:56.000,6f4e5576-34f2-4553-9deb-ca8224b581d1,d2c3946d-0a07-4637-97d6-9a1f074cab0f,USR_03222,842b2a4340d2022afcd5aea7c6ad163b,DEV_95957,26.88.130.240,Mozilla/5.0 (Windows NT 10.0; Win64; x64),/transaction/history,GET,1942,ACC_03222,,,INQUIRY,200,00,90,3875,0
2025-08-21 07:47:43.000,67c45c24-172a-47e8-801a-c8d8a8e3e464,baf7cd5a-a106-44ba-986b-d79d1a1b98f6,USR_17789,93045079fc2fce890143bc9085a07a2f,DEV_58495,124.178.72.103,MyBankApp/1.0.0 (Android 11),/transfer,POST,939,ACC_17789,ACC_05030,1000,TRANSFER,200,00,112,349,2
2025-08-21 07:54:59.000,9efb710e-15c3-4101-96d7-bc7df2537dba,da800c14-08ff-4ce7-b952-d9717362a38f,USR_05008,8b98f2d17e86d5466be138dfa0430ad3,DEV_84087,116.240.155.193,python-requests/2.28.1,/transaction/history,GET,244,ACC_05008,,,INQUIRY,200,00,69,1305,1
2025-08-22 00:25:33.000,ba3e816e-feec-4cf7-a554-2a6e5eb7af21,866752f2-0f82-43b0-a873-9bd22babbff3,USR_03554,0b5634b8ebed25a81a4224d5c9e157a9,DEV_12751,214.178.228.229,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/balance,GET,1181,ACC_03554,,,INQUIRY,200,00,271,3581,0
